trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,block_rfq_id,unix_sec
866,370799661,1749562854029,2,0.0026,0.00261938,48.05,BTC-25JUL25-150000-C,109460.31,sell,0.1,,,0.1,,,1749562854.029
867,370800953,1749563068745,2,0.0023,0.00248635,47.45,BTC-25JUL25-150000-C,109094.26,sell,0.3,,,0.3,,,1749563068.745
868,370801842,1749563214287,0,0.0024,0.00244288,47.93,BTC-25JUL25-150000-C,108959.49,sell,0.1,,,0.1,,,1749563214.287
869,370802035,1749563226812,2,0.0023,0.00242234,47.64,BTC-25JUL25-150000-C,108932.22,sell,0.9,,,0.9,,,1749563226.812
870,370803185,1749563711530,0,0.0025,0.00248087,48.01,BTC-25JUL25-150000-C,109223.11,sell,0.1,,,0.1,,,1749563711.53
871,370803911,1749564138674,1,0.0025,0.00250056,47.94,BTC-25JUL25-150000-C,109289.37,sell,0.1,,,0.1,,,1749564138.674
872,370814063,1749567460689,2,0.0023,0.00230101,47.98,BTC-25JUL25-150000-C,108669.83,sell,0.1,,,0.1,,,1749567460.689
873,370814915,1749567762264,3,0.0023,0.00229,48.03,BTC-25JUL25-150000-C,108630.65,sell,0.1,,,0.1,,,1749567762.264
874,370816253,1749568379497,0,0.0024,0.00237165,47.96,BTC-25JUL25-150000-C,109002.43,buy,3.9,,,3.9,,,1749568379.497
875,370816404,1749568399509,1,0.0024,0.00240816,47.84,BTC-25JUL25-150000-C,109116.55,sell,0.1,,,0.1,,,1749568399.509
876,370817897,1749569326673,1,0.0024,0.00245243,47.8,BTC-25JUL25-150000-C,109163.43,sell,0.1,,,0.1,,,1749569326.673
877,370819935,1749569748906,2,0.0023,0.00229571,48.06,BTC-25JUL25-150000-C,108604.6,sell,0.1,,,0.1,,,1749569748.906
878,370840423,1749583494708,0,0.0025,0.00257608,47.5,BTC-25JUL25-150000-C,109800.09,buy,0.1,,,0.1,,,1749583494.708
879,370843081,1749584013232,0,0.0026,0.00270188,47.36,BTC-25JUL25-150000-C,110229.41,buy,0.2,,,0.2,,,1749584013.232
880,370843175,1749584024575,0,0.0027,0.0027126,47.66,BTC-25JUL25-150000-C,110243.28,sell,0.1,,,0.1,,,1749584024.575
881,370870869,1749605062748,2,0.0024,0.0023931,47.53,BTC-25JUL25-150000-C,109608.18,sell,0.1,,,0.1,,,1749605062.748
882,370875041,1749613309132,3,0.0024,0.00234177,47.46,BTC-25JUL25-150000-C,109734.82,buy,2.0,,,2.0,,,1749613309.132
883,370884773,1749628627832,3,0.0024,0.00228584,47.83,BTC-25JUL25-150000-C,109468.75,buy,0.1,,,0.1,,,1749628627.832
884,370884774,1749628627832,3,0.0024,0.00228584,47.83,BTC-25JUL25-150000-C,109468.75,buy,2.1,,,2.1,,,1749628627.832
885,370890514,1749633482606,2,0.0022,0.00226644,47.1,BTC-25JUL25-150000-C,109532.64,sell,0.1,,,0.1,,,1749633482.606
886,370890701,1749633662311,3,0.0022,0.00226828,47.08,BTC-25JUL25-150000-C,109547.67,buy,0.1,,,0.1,,,1749633662.311
887,370891398,1749634201233,3,0.0022,0.00223844,47.2,BTC-25JUL25-150000-C,109475.26,sell,0.1,,,0.1,,,1749634201.233
888,370893948,1749637151147,3,0.0022,0.0022387,47.44,BTC-25JUL25-150000-C,109284.1,sell,0.1,,,0.1,,,1749637151.147
889,370894099,1749637691164,2,0.0021,0.00222111,47.08,BTC-25JUL25-150000-C,109282.96,sell,0.1,,,0.1,,,1749637691.164
890,370895559,1749640900084,0,0.0023,0.00223996,47.82,BTC-25JUL25-150000-C,109293.87,buy,0.1,,,0.1,,,1749640900.084
891,370895824,1749641584141,1,0.0023,0.00224246,47.81,BTC-25JUL25-150000-C,109302.0,buy,0.2,,,0.2,,,1749641584.141
892,370898823,1749644026547,2,0.0022,0.00227184,47.35,BTC-25JUL25-150000-C,109414.18,sell,0.1,,,0.1,,,1749644026.547
893,370899023,1749644235754,2,0.0021,0.00219681,47.23,BTC-25JUL25-150000-C,109198.39,buy,0.2,,,0.2,,,1749644235.754
894,370908432,1749647096285,0,0.0023,0.00232101,47.51,BTC-25JUL25-150000-C,109600.2,buy,0.2,,,0.2,,,1749647096.285
895,370916705,1749651081536,0,0.0024,0.00236247,47.62,BTC-25JUL25-150000-C,109798.9,buy,0.2,,,0.2,,,1749651081.536
896,370916719,1749651090270,0,0.0025,0.00235216,48.01,BTC-25JUL25-150000-C,109759.84,buy,9.9,,,9.9,,,1749651090.27
897,370916720,1749651090270,1,0.0025,0.00235216,48.01,BTC-25JUL25-150000-C,109759.84,buy,0.6,,,0.6,,,1749651090.27
898,370916721,1749651090275,1,0.0025,0.00235216,48.01,BTC-25JUL25-150000-C,109759.84,sell,0.5,,,0.5,,,1749651090.275
899,370916741,1749651098445,0,0.0026,0.00235255,48.33,BTC-25JUL25-150000-C,109772.8,buy,1.6,,,1.6,,,1749651098.445
900,370916742,1749651098453,1,0.0026,0.00235255,48.33,BTC-25JUL25-150000-C,109772.8,sell,37.2,,,37.2,,,1749651098.453
901,370916747,1749651098621,2,0.0023,0.00235459,47.29,BTC-25JUL25-150000-C,109778.05,buy,12.6,2.0,BLOCK-204627,12.6,BTC-CS-25JUL25-140000_150000,,1749651098.621
