"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-08-2025 03:00","1749351606","0.0125","0.185","0.385","0.665","0.58","0.295","0.115","0.0055"
"06-08-2025 04:00","1749355207","0.0135","0.185","0.385","0.665","0.585","0.285","0.115","0.0055"
"06-08-2025 05:00","1749358807","0.0135","0.185","0.385","0.68","0.575","0.285","0.115","0.0055"
"06-08-2025 06:00","1749362407","0.0135","0.185","0.385","0.665","0.58","0.285","0.115","0.0055"
"06-08-2025 07:00","1749366007","0.0135","0.185","0.385","0.67","0.575","0.285","0.115","0.0055"
"06-08-2025 08:00","1749369606","0.0135","0.185","0.38","0.665","0.575","0.285","0.115","0.0055"
"06-08-2025 09:00","1749373206","0.012","0.185","0.375","0.665","0.575","0.285","0.115","0.0045"
"06-08-2025 10:00","1749376807","0.0115","0.175","0.365","0.645","0.58","0.29","0.11","0.0045"
"06-08-2025 11:00","1749380407","0.0105","0.175","0.375","0.655","0.565","0.28","0.11","0.0045"
"06-08-2025 12:00","1749384007","0.012","0.18","0.385","0.675","0.555","0.275","0.105","0.0045"
"06-08-2025 13:00","1749387607","0.012","0.18","0.385","0.685","0.545","0.265","0.105","0.0045"
"06-08-2025 14:00","1749391207","0.013","0.175","0.375","0.68","0.555","0.27","0.095","0.0045"
"06-08-2025 15:00","1749394807","0.0125","0.175","0.385","0.695","0.545","0.27","0.095","0.007"
"06-08-2025 16:00","1749398406","0.0125","0.185","0.385","0.7","0.53","0.265","0.105","0.0065"
"06-08-2025 17:00","1749402007","0.013","0.195","0.395","0.715","0.51","0.255","0.095","0.0055"
"06-08-2025 18:00","1749405607","0.0125","0.195","0.4","0.705","0.52","0.255","0.095","0.0055"
"06-08-2025 19:00","1749409208","0.012","0.195","0.405","0.725","0.51","0.25","0.095","0.0055"
"06-08-2025 20:00","1749412806","0.012","0.195","0.41","0.72","0.51","0.25","0.095","0.0055"
"06-08-2025 21:00","1749416407","0.012","0.195","0.415","0.715","0.51","0.25","0.095","0.0055"
"06-08-2025 22:00","1749420006","0.012","0.205","0.415","0.725","0.5","0.245","0.095","0.0055"
"06-08-2025 23:00","1749423607","0.012","0.205","0.395","0.68","0.535","0.265","0.105","0.0055"
"06-09-2025 00:00","1749427207","0.012","0.19","0.4","0.68","0.54","0.26","0.105","0.0055"
"06-09-2025 01:00","1749430807","0.012","0.195","0.4","0.68","0.535","0.265","0.105","0.0055"
"06-09-2025 02:00","1749434406","0.012","0.185","0.385","0.67","0.545","0.275","0.105","0.0055"
"06-09-2025 03:00","1749438006","0.012","0.175","0.39","0.67","0.54","0.27","0.105","0.005"
"06-09-2025 04:00","1749441606","0.012","0.175","0.385","0.68","0.53","0.27","0.105","0.005"
"06-09-2025 05:00","1749445207","0.0115","0.175","0.385","0.66","0.525","0.27","0.105","0.005"
"06-09-2025 06:00","1749448807","0.011","0.165","0.375","0.65","0.53","0.27","0.105","0.0045"
"06-09-2025 07:00","1749452406","0.0115","0.17","0.375","0.665","0.515","0.265","0.105","0.0045"
"06-09-2025 08:00","1749456007","0.011","0.165","0.375","0.66","0.535","0.265","0.105","0.0045"
"06-09-2025 09:00","1749459607","0.012","0.165","0.385","0.68","0.495","0.25","0.105","0.0045"
