trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot
107,100000.0,2025-06-11 01:00:00+00:00,2025-06-11 10:00:00+00:00,YES,0.305,0.335,-0.0463260583784151,-0.0269385542249663,655.2502432412304,199.85132418857526,7.0767026270052895,convergence,10533.416893145966,10353.636696966707
110,100000.0,2025-06-11 11:00:00+00:00,2025-06-11 12:00:00+00:00,YES,0.315,0.33,-0.056362079767992,-0.0199436615976123,771.5813115522535,243.04811313895985,-3.356378705252297,convergence,10346.074904431469,10349.43128313672
109,115000.0,2025-06-11 10:00:00+00:00,2025-06-11 13:00:00+00:00,YES,0.58,0.615,-0.040699455680054,0.0109796751561797,307.97725143830917,178.6268058342193,-0.26178066372256126,convergence,10529.798733776992,10533.416893145966
111,100000.0,2025-06-11 13:00:00+00:00,2025-06-11 14:00:00+00:00,YES,0.305,0.31,-0.057821893298358,-0.0229072052199322,831.7662552426755,253.68870784901603,-11.187256133013989,convergence,10518.611477643977,10529.798733776992
114,115000.0,2025-06-11 18:00:00+00:00,2025-06-11 21:00:00+00:00,YES,0.575,0.56,-0.0450993254952931,0.0240327033397443,329.6783669380132,189.5650609893576,-16.170723898309546,convergence,10071.699579659573,10087.870303557884
102,120000.0,2025-06-10 15:00:00+00:00,2025-06-12 03:00:00+00:00,YES,0.275,0.225,-0.0472071744382156,-0.0259516920593254,756.0903871236201,207.92485645899555,-49.14587516303533,convergence,10236.716306649303,10570.84355164494
116,115000.0,2025-06-12 11:00:00+00:00,2025-06-12 15:00:00+00:00,YES,0.425,0.455,-0.0432177688241833,-0.0114059378008283,425.2681205333835,180.738951226688,1.530965233920199,convergence,10038.455469798468,10036.924504564548
113,95000.0,2025-06-11 16:00:00+00:00,2025-06-12 17:00:00+00:00,YES,0.115,0.145,-0.0440329244077399,-0.0262628305148089,1640.4142719544825,188.6476412747655,36.41719683738947,convergence,10049.678782692412,10282.177374070892
117,115000.0,2025-06-12 16:00:00+00:00,2025-06-12 17:00:00+00:00,YES,0.415,0.455,-0.0509499231425177,-0.0104926748777808,513.5125849958016,213.10772277325765,7.137824931441656,convergence,10276.317562080309,10038.455469798468
118,115000.0,2025-06-12 18:00:00+00:00,2025-06-12 20:00:00+00:00,NO,0.495,0.395,0.0419833628154142,0.0262927831648321,355.96895100266534,179.764320256346,23.74312903187777,convergence,10300.060691112187,10276.317562080309
